1 2-3 0 0.4 0 0.3 0 0.4 1 0 
1 2-4 0 0.4 0 0.5 0 0.7 0.83 0 
1 2-5 0 0.9 0 0.2 0 0.3 0.42 0 
1 3-4 0 0 0 0.2 0 0.3 1 0 
1 3-5 0 0.5 0.1 0 0.1 0 0.83 0 
1 4-5 0 0.5 0.3 0 0.4 0 1 0 
2 2-3 0 0.37 0 0.28 0 0.32 1 0 
2 2-4 0 0.27 0 0.49 0 0.55 0.83 0 
2 2-5 0 0.67 0 0.18 0 0.43 0.42 0 
2 3-4 0.1 0 0 0.21 0 0.23 1 0 
2 3-5 0 0.3 0.1 0 0 0.11 0.83 0 
2 4-5 0 0.4 0.31 0 0.12 0 1 0 
3 2-3 0 0.33 0 0.26 0 0.24 1 0 
3 2-4 0 0.13 0 0.47 0 0.4 0.83 0 
3 2-5 0 0.13 0 0.46 0 0.32 0.42 0 
3 3-4 0.2 0 0 0.21 0 0.16 1 0 
3 3-5 0.2 0 0 0.2 0 0.08 0.83 0 
3 4-5 0 0 0.01 0 0.08 0 1 0 
